i,theta,.chain,.iteration,.draw
1,0.030082494715149455,1,1,1
1,0.029755718333413984,1,2,2
1,0.030132650235778536,1,3,3
1,0.029452615338430452,1,4,4
1,0.031156336845024706,1,5,5
1,0.031057470153756175,1,6,6
1,0.031197976894535972,1,7,7
1,0.032792432668691834,1,8,8
1,0.03248164716825358,1,9,9
1,0.031324043487632375,1,10,10
1,0.031590486486362916,1,11,11
1,0.031060864579880484,1,12,12
1,0.03102951777977918,1,13,13
1,0.030933678191833597,1,14,14
1,0.03031678288705626,1,15,15
1,0.030581414924055528,1,16,16
1,0.032803207941813954,1,17,17
1,0.03113943313177742,1,18,18
1,0.029704232418348225,1,19,19
1,0.028830140449301357,1,20,20
1,0.02954571994359376,1,21,21
1,0.030361643365580945,1,22,22
1,0.031038808392116875,1,23,23
1,0.03200875121003185,1,24,24
1,0.031574709151982454,1,25,25
1,0.028353149243455042,1,26,26
1,0.028851428985368213,1,27,27
1,0.028945558498523663,1,28,28
1,0.02969743517964079,1,29,29
1,0.02906412512097931,1,30,30
1,0.02916973824092579,1,31,31
1,0.02985011239599035,1,32,32
1,0.02909800429230201,1,33,33
1,0.030047992479906842,1,34,34
1,0.02940362275948168,1,35,35
1,0.02808900699554697,1,36,36
1,0.028153419733188485,1,37,37
1,0.028116445635416886,1,38,38
1,0.029002160452616443,1,39,39
1,0.030119043297417894,1,40,40
1,0.029672322810242565,1,41,41
1,0.030771143898462586,1,42,42
1,0.031109559493801463,1,43,43
1,0.0317278709058118,1,44,44
1,0.03145367934405505,1,45,45
1,0.030974736889454433,1,46,46
1,0.030990001285940604,1,47,47
1,0.030826349551421984,1,48,48
1,0.030807443646643912,1,49,49
1,0.03055099576573403,1,50,50
1,0.030346301791364598,1,51,51
1,0.030096821172799115,1,52,52
1,0.030249613463669313,1,53,53
1,0.029625971289152543,1,54,54
1,0.02946252371295558,1,55,55
1,0.02898658429031459,1,56,56
1,0.02889888354323258,1,57,57
1,0.029420160727119903,1,58,58
1,0.028133690275925615,1,59,59
1,0.029783249376595315,1,60,60
1,0.02924407613017472,1,61,61
1,0.029533883105934952,1,62,62
1,0.030272913189879715,1,63,63
1,0.03026457391292138,1,64,64
1,0.031067989438452952,1,65,65
1,0.031216163436970635,1,66,66
1,0.03034519745929241,1,67,67
1,0.03074744151483457,1,68,68
1,0.02870483433743698,1,69,69
1,0.029485575337854453,1,70,70
1,0.03093189128670511,1,71,71
1,0.030437598527897698,1,72,72
1,0.029363170664330883,1,73,73
1,0.028919221542750177,1,74,74
1,0.029839214328214445,1,75,75
1,0.03004903132868684,1,76,76
1,0.03094599010742841,1,77,77
1,0.03030442122205128,1,78,78
1,0.03104776013255406,1,79,79
1,0.030143284027188716,1,80,80
1,0.028542742780574764,1,81,81
1,0.028835596345934834,1,82,82
1,0.028814866087729523,1,83,83
1,0.03060124918153164,1,84,84
1,0.030782798312055482,1,85,85
1,0.031517495130938974,1,86,86
1,0.030794567415515298,1,87,87
1,0.03121257692279783,1,88,88
1,0.031930711715163825,1,89,89
1,0.02990834136792426,1,90,90
1,0.030585186915470422,1,91,91
1,0.028851834319627068,1,92,92
1,0.03099628079877513,1,93,93
1,0.029431701817174506,1,94,94
1,0.03053127370415339,1,95,95
1,0.030839094250498588,1,96,96
1,0.028596760605109843,1,97,97
1,0.0285953945840328,1,98,98
1,0.028706460533929556,1,99,99
1,0.028042739545637962,1,100,100
1,0.02822429425300262,1,101,101
1,0.029341179023262276,1,102,102
1,0.030513848525518195,1,103,103
1,0.031497835074652536,1,104,104
1,0.030573621917939355,1,105,105
1,0.030126247168752354,1,106,106
1,0.02982391452931044,1,107,107
1,0.02973916069560694,1,108,108
1,0.029825171156284427,1,109,109
1,0.03014657285030152,1,110,110
1,0.02901292697231938,1,111,111
1,0.029104291143919422,1,112,112
1,0.029533352291579322,1,113,113
1,0.029402534616508012,1,114,114
1,0.030688558784875503,1,115,115
1,0.02991237625534256,1,116,116
1,0.029362171414186577,1,117,117
1,0.02887088108499763,1,118,118
1,0.03174650792591852,1,119,119
1,0.031170953177326655,1,120,120
1,0.030922275239711805,1,121,121
1,0.0307585760803347,1,122,122
1,0.02894303681701886,1,123,123
1,0.029150936382366977,1,124,124
1,0.029688715016550002,1,125,125
1,0.02996834517715496,1,126,126
1,0.03005550757743369,1,127,127
1,0.030302631134191797,1,128,128
1,0.029513994287771936,1,129,129
1,0.029513994287771936,1,130,130
1,0.030281001297220993,1,131,131
1,0.030441312470991546,1,132,132
1,0.030463153524128195,1,133,133
1,0.030179553726053483,1,134,134
1,0.02901885545475135,1,135,135
1,0.029390742800442585,1,136,136
1,0.03011913833543839,1,137,137
1,0.03008478226767029,1,138,138
1,0.030650107339459512,1,139,139
1,0.030284744365652323,1,140,140
1,0.029755414272351108,1,141,141
1,0.02955581299666783,1,142,142
1,0.029186845940194297,1,143,143
1,0.02915230334298042,1,144,144
1,0.029211392734623583,1,145,145
1,0.029108688720405698,1,146,146
1,0.029962830818446543,1,147,147
1,0.029949521713533933,1,148,148
1,0.029475261623119097,1,149,149
1,0.029585192487170866,1,150,150
1,0.02946539418904567,1,151,151
1,0.029046719544169226,1,152,152
1,0.03025601065102561,1,153,153
1,0.030692112311262853,1,154,154
1,0.030036675112089694,1,155,155
1,0.03081542326315061,1,156,156
1,0.031313436933528865,1,157,157
1,0.03202808935031922,1,158,158
1,0.03152736845472087,1,159,159
1,0.030769062524012,1,160,160
1,0.030823428374450894,1,161,161
1,0.030067724751245882,1,162,162
1,0.02948314631245989,1,163,163
1,0.03017111310411023,1,164,164
1,0.02967690839082627,1,165,165
1,0.029990177705359253,1,166,166
1,0.030610668831948608,1,167,167
1,0.03053927712108213,1,168,168
1,0.029627329761832102,1,169,169
1,0.03049945173993536,1,170,170
1,0.03056873350185885,1,171,171
1,0.030845798949732176,1,172,172
1,0.03080063715792674,1,173,173
1,0.03176403143358796,1,174,174
1,0.029557323072606133,1,175,175
1,0.029307098775574334,1,176,176
1,0.029661339105640887,1,177,177
1,0.030011770266955014,1,178,178
1,0.030466627562729186,1,179,179
1,0.030231332800520355,1,180,180
1,0.030775592801502362,1,181,181
1,0.030316664027673492,1,182,182
1,0.029292135493595224,1,183,183
1,0.029143240379165603,1,184,184
1,0.029124712597577606,1,185,185
1,0.030144668545992553,1,186,186
1,0.029362640166737283,1,187,187
1,0.030077058949862272,1,188,188
1,0.030522706387543216,1,189,189
1,0.030819307999766697,1,190,190
1,0.031232263922415755,1,191,191
1,0.030533564938284224,1,192,192
1,0.02927735527579503,1,193,193
1,0.031201556608899703,1,194,194
1,0.03163723691662485,1,195,195
1,0.03139401661796604,1,196,196
1,0.02977582447026625,1,197,197
1,0.030348330996773594,1,198,198
1,0.030989772947325626,1,199,199
1,0.030506021183330127,1,200,200
1,0.02988916643314254,1,201,201
1,0.029861138520781278,1,202,202
1,0.03020999007576532,1,203,203
1,0.029930216171177148,1,204,204
1,0.02913524866424578,1,205,205
1,0.031295331655136455,1,206,206
1,0.02983113324881104,1,207,207
1,0.02973697896566869,1,208,208
1,0.029278268475050905,1,209,209
1,0.02972415233515556,1,210,210
1,0.03001223413216717,1,211,211
1,0.0298600093745326,1,212,212
1,0.029681365055852574,1,213,213
1,0.030480771943958745,1,214,214
1,0.031056805882979738,1,215,215
1,0.029548936888338918,1,216,216
1,0.030168173370092366,1,217,217
1,0.030294208056444616,1,218,218
1,0.030341523189641662,1,219,219
1,0.029595867081178964,1,220,220
1,0.031146590330913968,1,221,221
1,0.03123103360079351,1,222,222
1,0.03037630413945109,1,223,223
1,0.03046566844117147,1,224,224
1,0.030674569640911503,1,225,225
1,0.030386521038287487,1,226,226
1,0.030307827136902925,1,227,227
1,0.03147757580481868,1,228,228
1,0.030899052001870445,1,229,229
1,0.030469168296173237,1,230,230
1,0.02986738380303931,1,231,231
1,0.030147693569459608,1,232,232
1,0.031326379190140766,1,233,233
1,0.029617961516542547,1,234,234
1,0.031146425499651013,1,235,235
1,0.030567410123627042,1,236,236
1,0.02999831690214547,1,237,237
1,0.030795108352036766,1,238,238
1,0.030340388956037394,1,239,239
1,0.030209606778060748,1,240,240
1,0.031395667160483406,1,241,241
1,0.03075006545378087,1,242,242
1,0.029810504784075372,1,243,243
1,0.03029282080200692,1,244,244
1,0.030076509367973073,1,245,245
1,0.030563614472452445,1,246,246
1,0.030329615617309694,1,247,247
1,0.03015848270009754,1,248,248
1,0.028730247284397818,1,249,249
